2025-04-11T12:26:12+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.46, 0.29, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches","branch-instructions","branch-misses","cache-misses","cycles","instructions"
"BM_JoinBin/1048576/1048576/32/iterations:5",5,1.81199,1.81195,ms,,,,,,0,1.04858e+06,2.9533e+06,1207,4,6.84127e+06,1.47132e+07
"BM_JoinBin/1048576/1048576/64/iterations:5",5,0.947469,0.947516,ms,,,,,,0,1.04858e+06,1.48386e+06,2418.2,9,3.57741e+06,7.39264e+06
"BM_JoinBin/1048576/1048576/128/iterations:5",5,0.516776,0.516833,ms,,,,,,0,1.04858e+06,746667,4947.4,11.8,1.9502e+06,3.71974e+06
"BM_JoinBin/1048576/1048576/256/iterations:5",5,0.327778,0.327744,ms,,,,,,0,1.04858e+06,375015,7230,10,1.2325e+06,1.8684e+06
"BM_JoinBin/1048576/1048576/512/iterations:5",5,0.212094,0.21208,ms,,,,,,0,1.04858e+06,188585,7754.8,3.8,797916,939618
"BM_JoinBin/1048576/1048576/1024/iterations:5",5,0.129864,0.129777,ms,,,,,,0,1.04858e+06,94869.4,5291.6,8.2,486128,472665
"BM_JoinBin/1048576/1048576/2048/iterations:5",5,0.0728361,0.0727796,ms,,,,,,0,1.04858e+06,47786.4,2798.6,3.8,249372,238091
"BM_JoinBin/10485760/10485760/1/iterations:5",5,517.255,517.209,ms,,,,,,0,1.04858e+07,1.04438e+09,529547,6.43757e+06,1.95241e+09,5.14012e+09
"BM_JoinBin/10485760/10485760/2/iterations:5",5,261.675,261.68,ms,,,,,,0,1.04858e+07,5.3792e+08,548.4,5.26031e+06,9.87399e+08,2.64346e+09
"BM_JoinBin/10485760/10485760/4/iterations:5",5,138.737,138.74,ms,,,,,,0,1.04858e+07,2.70009e+08,1911.4,4.11097e+06,5.23451e+08,1.32697e+09
"BM_JoinBin/10485760/10485760/8/iterations:5",5,75.086,75.0705,ms,,,,,,0,1.04858e+07,1.36315e+08,811.4,3.34833e+06,2.83267e+08,6.69778e+08
"BM_JoinBin/10485760/10485760/16/iterations:5",5,45.961,45.9618,ms,,,,,,0,1.04858e+07,6.84197e+07,1212.8,3.52092e+06,1.73342e+08,3.362e+08
"BM_JoinBin/10485760/10485760/32/iterations:5",5,44.7827,44.7649,ms,,,,,,0,1.04858e+07,3.43656e+07,4966.8,3.11723e+06,1.68325e+08,1.68895e+08
"BM_JoinBin/10485760/10485760/64/iterations:5",5,31.8272,31.8278,ms,,,,,,0,1.04858e+07,1.72545e+07,3678.8,1.46546e+06,1.20131e+08,8.48082e+07
"BM_JoinBin/10485760/10485760/128/iterations:5",5,15.5197,15.5198,ms,,,,,,0,1.04858e+07,8.67444e+06,5598.6,763687,5.84865e+07,4.26379e+07
"BM_JoinBin/10485760/10485760/256/iterations:5",5,6.83004,6.82984,ms,,,,,,0,1.04858e+07,4.35572e+06,9858,273823,2.57785e+07,2.14122e+07
"BM_JoinBin/10485760/10485760/512/iterations:5",5,3.17641,3.17614,ms,,,,,,0,1.04858e+07,2.18793e+06,16107.8,70745.4,1.19804e+07,1.07568e+07
"BM_JoinBin/10485760/10485760/1024/iterations:5",5,1.6954,1.6951,ms,,,,,,0,1.04858e+07,1.09927e+06,22848.6,36579,6.38998e+06,5.40477e+06
"BM_JoinBin/10485760/10485760/2048/iterations:5",5,0.882893,0.882542,ms,,,,,,0,1.04858e+07,552368,23121,19665,3.32235e+06,2.71608e+06
"BM_JoinBin/52428800/52428800/1/iterations:5",5,2895.05,2895,ms,,,,,,0,5.24288e+07,5.70845e+09,506705,6.32325e+07,1.09236e+10,2.789e+10
